ITEM_NUMBER,DESCRIPTION
874503,CHEETO FLAMIN'HOT 50/1 OZ
653478,CHEETOS CHEDAR JALAPENO
874511,CHEETOS CRUNCHY 50/1 OZ
320864,CHEETOS CRUNCHY 64CT
320832,CHEETOS CRUNCHY HOT 64
1249360,CHEETOS HOT LIMON 64/2 OZ
1537659,CHEETOS PUFFS 64/1.375OZ
320847,CHESTERS HOT FRIES 64CT
1290634,CHESTER'S HOT FRIES 50/1Z
1157176,CHEX MIX 42CT VEND PACK
1659045,CRACKER JACK 30/1.25OZ
1750691,DORITO FLAMIN NACHO 50/1Z
874530,DORITOS COOL RANCH 50/1OZ
320881,DORITOS COOL RANCH 64CT
320883,DORITOS NACHO CHEESE 64CT
874504,DORITOS NACHO CHZ 50/1 OZ
1817310,DOT'S PRETZELS VEND
1951673,DOT'S VARIETY VEND
1958909,DRIZZILICIOUS RICE CAKES
1955751,DUTCH CRUNCH JLPNO+CHDDR
1955750,DUTCH CRUNCH MESQUITE BBQ
1955749,DUTCH CRUNCH PARM+GARLIC
1955754,DUTCH CRUNCH SALT+VINEGAR
1249490,FLAMIN HOT FAVORITES 30CT
1659026,FLAMIN HOT VARIETY 30 CT
1627747,FRITO BOLD MIX 54/1OZ
1627770,FRITO CLASSIC 54-1Z BLUE
1542578,FRITO FLAMIN HOT MIX 54CT
1983303,FRITO FLAVOR MIX 54CT
1835764,FRITO LAY'S MIX 30/1.5OZ
1896154,FRITO OVEN BAKED MIX 30CT
1618629,FRITO SELECT 30CT 47.0 OZ
1913150,FRITO SIMPLY VARIETY 30CT
188140,FRITO VTY 30CT/1.75OZ RED
320834,FRITOS CHILI CHEESE 64CT
874524,FRITOS CORN CHIPS 50/1OZ
1532497,FRITOS HONEY BBQ TWISTS
874527,FUNYUN VEND 50/.75OZ
649691,FUNYUNS FLAMIN' HOT
320871,FUNYUNS ONION SNACK 64CT
1155049,GARDETTOS VEND 42/1.75OZ
422483,HAWAIIAN VRTY CHIP 30/1.5
